SKU,End Customer,Region,Group(MPN),Business Unit,Family,Types,Type,Variable,07/01/2018,07/08/2018,07/15/2018,07/22/2018,07/29/2018,08/05/2018,08/12/2018,08/19/2018,08/26/2018,09/02/2018,09/09/2018,09/16/2018,09/23/2018,09/30/2018,10/07/2018,10/14/2018,10/21/2018,10/28/2018,11/04/2018,11/11/2018,11/18/2018,11/25/2018,12/02/2018,12/09/2018,12/16/2018,12/23/2018,12/30/2018,01/06/2019,01/13/2019,01/20/2019,01/27/2019,02/03/2019,02/10/2019,02/17/2019,02/24/2019,03/03/2019,03/10/2019,03/17/2019,03/24/2019,03/31/2019,04/07/2019,04/14/2019,04/21/2019,04/28/2019,05/05/2019,05/12/2019,05/19/2019,05/26/2019,06/02/2019,06/09/2019,06/16/2019,06/23/2019,06/30/2019,07/07/2019,07/14/2019,07/21/2019,07/28/2019,08/04/2019,08/11/2019,08/18/2019,08/25/2019,09/01/2019,09/08/2019,09/15/2019,09/22/2019,09/29/2019,10/06/2019,10/13/2019,10/20/2019,10/27/2019,11/03/2019,11/10/2019,11/17/2019,11/24/2019,12/01/2019,12/08/2019,12/15/2019,12/22/2019,12/29/2019,01/05/2020,01/12/2020,01/19/2020,01/26/2020,02/02/2020,02/09/2020,02/16/2020,02/23/2020,03/01/2020,03/08/2020,03/15/2020,03/22/2020,03/29/2020,04/05/2020,04/12/2020,04/19/2020,04/26/2020,05/03/2020,05/10/2020,05/17/2020,05/24/2020,05/31/2020,06/07/2020,06/14/2020,06/21/2020,06/28/2020,07/05/2020,07/12/2020,07/19/2020,07/26/2020,08/02/2020,08/09/2020,08/16/2020,08/23/2020,08/30/2020
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Demand,Demand,,,,,,,4,4,4,42,59,77,81,16,374,384,475,490,164,218,246,246,345,314,191,364,340,391,635,435,382,384,349,480,484,438,337,274,251,315,330,268,354,605,442,460,366,152,443,289,555,681,709,710,440,257,313,340,812,825,779,821,549,485,916,986,2633,2588,2201,490,2186,1877,2535,2852,1278,1228,787,997,955,1132,1031,1281,2217,2592,3053,2628,3166,1888,3142,3883,3697,3420,3167,2349,2253,2166,585,619,425,739,1054,761,762,404,659,1092,1150,1199,882,737,698,977,708,617
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Forecast,BUF,,,,,,,,,,,,10.8,21.6,32.4,43.2,42.4,112.35,182.3,252.25,282.5,265,247.5,243.5,597.85,929.2,1260.55,1578.4,1578.4,1344.8,1125.2,905.6,686,646.5,644.25,642,639.75,695.45,1138.9,1582.35,2025.8,2464.8,2241.1,1807.65,1374.2,940.75,959.75,1167.75,1375.75,1583.75,1361.05,1175.3,989.55,803.8,820,660.75,514.25,367.75,221.25,498.75,1068,1637.25,2206.5,1981.85,1783.7,1585.55,1387.4,1718.4,1406.8,2283.2,3159.6,4036,5211.75,5001.5,4791.25,3814.5,2753.35,1890.2,1027.05,930.4,930.4,1330.55,1730.7,2130.85,2531,2746.75,2962.5,3178.25,3394,3517.1,3640.2,3763.3,3886.4,3886.4,3358.8,2831.2,2303.6,1776,2118.5,2461,2803.5,3146,2764.9,2383.8,2002.7,1621.6,1621.6,3925.45,6229.3,8533.15,10837,8731,6625,4519,2413
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Forecast,JFF,,,,,,,,,,,,1219.2,2438.4,3657.6,4876.8,4167.6,3029.15,1890.7,752.25,282.5,270,257.5,253.5,3157.85,6034.2,8910.55,11778.4,11778.4,11232.3,8462.7,5693.1,2923.5,896.5,894.25,892,889.75,5324.05,7386.9,9449.75,11512.6,8942.4,7099.3,5046.45,2993.6,940.75,1888.5,2096.25,2304,2511.75,2300.7,2315.4,2330.1,2344.8,1620.8,1261.35,914.65,567.95,221.25,498.75,1063.75,1628.75,2193.75,3178.9,2980.8,2782.7,2584.6,1701.6,3394.2,4274.8,5155.4,6035.999,5211.749,5001.499,4791.249,3754.249,3501.3,3446.35,3391.4,4163.2,4163.2,3692.65,3222.1,2751.549,2280.999,2383.999,2487,2590,2693,2725.55,2758.1,2790.649,2823.199,2823.199,2248.399,1673.599,1098.799,523.999,477.499,430.999,384.499,337.999,1894.899,3451.8,5008.7,6565.6,6565.6,4983.7,3401.8,1819.9,238,4237.75,8237.5,12237.25,16237
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Forecast,SalesOpps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,579,969,4443,770,678,624,747,2213,2342,2318,2208,2462,2609,2449,2445,1061,1222,748,779,714,759,1078,689,2181,2042,2687,3079,3084,3075,3424,3770,3270,3339,2795,2076,1800,1889,528,491,616,706,706,451,398,150,50,99,663,1025,1237,1140,1338,1588,1183,1153
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Forecast,RollingDemand,,,,,,,,,,,4,4,48,65,69,167,241,447,93,123,60,186,245,203,161,138,74,82,332,178,325,290,105,121,103,355,207,175,117,157,132,133,86,166,50,179,289,51,235,295,313,403,382,410,332,145,46,123,197,249,598,4022,288,273,307,532,2213,2250,2051,1822,1945,2184,2199,2314,1061,1222,748,779,714,759,1078,689,2181,2042,2687,3079,3084,3075,3424,3770,3270,3339,2795,2076,1800,1889,528,491,616,706,706,451,398,150,50,99,586,638,533,243,384,810,588,617
900-2G183-0000-000,,,T4,CU,U104,BD,Raw Forecast,ChannelInv,,,,,,,,,,,,,,,,,12,12,12,31,49,0,0,0,0,267,248,267,720,791,757,736,668,1220,999,941,866,873,607,460,317,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,14656,12583,16397,20369,22469,23543,21677,21507,21194,19481,15972,16358,15417,14436,14680,8239,8863,9413,9862,10655,8820,6589,5985,3083,0,0,0,0,0,568,5135,8240,11016,8442,9729,10856,7997,9742,16213,24827,27843,33489,39942,49144,57571,63321,70938,78298,86603,91108,99153,110002,120280,130546,149692,168859,187496
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Demand,Demand,,,,,,,,,,22,22,22,22,,14995,15139,15413,15569,470,496,542,402,557,569,551,597,491,523,311,261,242,1140,2363,4155,4533,10338,12262,17449,12795,11411,34300,33788,32941,35912,9975,12709,14347,11818,13624,15259,13308,11201,10503,10270,4402,12912,19465,20567,22035,20518,11878,8913,15686,11763,19832,21509,27220,29731,45771,47431,44412,40638,53335,64333,61549,54480,56929,42770,50895,54906,43258,52404,41448,32535,56261,46474,43092,35638,42526,53266,46143,34977,21501,11069,32028,33837,31387,35288,14282,10718,6782,6214,17164,18688,20651,30661,19668,18331,21407,12142,19400,44002,48429,44940
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Forecast,BUF,,,,,,,,,,,,4.4,8.8,13.2,17.6,13.2,48.3,83.4,118.5,118.5,168.5,218.5,284,371.2,368.9,366.6,348.8,348.8,304.1,659.4,1014.7,1370,1399,1553.25,1707.5,1861.75,3654.25,5980.833,8307.417,10634,11693.333,9185.833,7370,5554.167,3738.333,8217.5,10020.25,11823,13625.75,10798.75,11825.5,12852.25,13879,15748,14406,13080,11754,10428,10628,10963.5,11299,11634.5,10353.7,11553,12752.3,13951.6,16583.2,14246.4,16978.6,19710.8,22442.999,24746.25,27467.25,30188.25,36180,38080.15,34493.55,30906.95,24049.6,24049.6,30135.45,36221.3,42307.15,48393,52308,56222.999,60137.998,64052.998,56348.748,48644.499,40940.25,33236,33236,33822.75,34409.499,34996.248,35582.998,30163.498,24743.998,19324.497,13904.997,19062.348,24219.699,29377.049,34534.4,34534.4,28917.55,23300.7,17683.85,12067,13631.75,15196.499,16761.249,18325.999
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Forecast,JFF,,,,,,,,,,,,4.4,8.8,13.2,17.6,13.2,48.3,83.4,118.5,118.5,137.5,156.5,222,309.2,337.9,366.6,348.8,348.8,304.1,659.4,1014.7,1370,1399,1553.25,1707.5,1861.75,3654.25,5980.7,8307.15,10633.6,11692.8,9185.6,7369.9,5554.2,3738.5,8217.5,10020.25,11823,13625.75,10798.75,11825.9,12853.05,13880.2,15749.6,14407.2,13080.8,11754.4,10428,10628,10953.5,11278.999,11604.498,10292.098,10501.999,10711.899,10921.8,12585.6,11748.2,15494.8,19241.4,22987.999,24791.25,22358,19924.75,25707.75,26591.5,27127.75,27664,19984,19984,23379.75,26775.5,30171.25,33567,39453.5,45340,51226.5,57113,54529.55,51946.1,49362.65,46779.2,46779.2,42353.9,37928.6,33503.3,29078,24141,19204,14267,9330,14752.9,20175.8,25598.7,31021.6,31021.6,25938.95,20856.299,15773.649,10690.999,10788.249,10885.499,10982.749,11079.999
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Forecast,SalesOpps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27513,24562,15942,14719,18857,15941,15674,25118,26618,31033,28922,40134,37431,48109,44743,55230,58651,62639,60917,53786,51991,53796,44268,60117,54031,49673,69258,70062,70691,69314,70999,78915,72551,64511,47267,33956,51542,51084,37882,42973,24119,20820,14986,19724,24342,30187,30517,35519,30266,29308,30873,26091,27689,29663,38385,67628
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Forecast,RollingDemand,,,,,,,,,,,,,22,22,32,32,101,15253,437,474,390,386,336,228,318,485,386,269,268,207,218,1051,1062,1110,3080,6155,6544,18763,17215,10866,10263,9763,22053,18078,929,2674,17497,4573,8889,7354,4677,5426,5702,7586,1857,1555,1072,741,17503,14973,6813,6159,11575,10629,11018,21560,24320,26710,23418,32975,27815,38518,34093,42921,46701,51045,51099,46911,47088,51357,39308,52233,41986,33161,52291,52894,53558,52348,53334,60129,52883,42340,23194,13595,34931,39410,31765,36796,18044,14480,7770,11283,13777,17842,18489,26161,19163,17760,16712,6788,7865,8523,16227,44940
900-2G183-0000-001,,,T4,CU,U104,BD,Raw Forecast,ChannelInv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Demand,Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,40,40,40,130,118,118,128,30,120,195,207,234,190,190,355,406,395,360,335,717,887,2747,2752,2555,3056,2979,2886,2870,2558,4667,5838,6602,6138,9058,6063,6634,6784,4078,5914,4409,2930,2580,1701,1303,1294,1291,280,8446,8437,8664,8750
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Forecast,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,9.6,14.4,19.2,14.4,41.6,68.8,96,97.25,70.25,43.25,30.75,78.7,122.9,167.1,196.8,196.8,550.6,904.4,1258.2,1612,2014,2416,2818,3220,3248.2,3276.4,3304.599,3332.799,3332.799,3604.099,3875.399,4146.698,4417.998,5321.748,6225.498,7129.249,8032.999,7024.749,6016.499,5008.249,3999.998,3999.998,3150.999,2301.999,1452.999,603.999,778.999,953.999,1128.999,1303.999
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Forecast,JFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,9.6,14.4,19.2,264.4,291.6,318.8,346,97.25,70.25,43.25,23.75,128.5,229.5,330.5,424,424,449.25,474.5,499.75,525,1122.75,1720.5,2318.25,2916,3087.6,3259.2,3430.799,3602.399,3602.399,3500.799,3399.2,3297.6,3196,4133.5,5071,6008.5,6946,6046.5,5147,4247.5,3348,3348,2656,1964,1272,580,881,1182,1483,1784
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Forecast,SalesOpps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,64,64,58,130,130,140,128,128,128,170,112,92,273,275,322,382,221,490,625,1237,1413,1716,3126,3035,4852,6220,6476,5104,5750,6747,6941,3736,3739,8734,8826,7903,7907,6381,5335,4519,3463,3107,2993,2376,1612,1504,1590,1846,9950
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Forecast,RollingDemand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,64,64,58,130,130,140,128,128,128,170,112,92,273,275,322,334,121,390,525,1149,1349,1572,2929,2874,4469,5745,5796,4424,5245,6327,6684,3375,3337,8228,8207,7174,7050,5501,4097,3245,2425,2046,2258,1619,579,408,434,662,8750
900-2G500-0040-000,,,V100-PCIE,CU,V100,BD,Raw Forecast,ChannelInv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,282,468,539,0,0,1024,919,1040,445,1079,1433,1478,1325,1622,1566,1592,1713,1248,1331,1513,1597,2067,2184,2103,2107,1531,1830,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
